Name,SID,Email,Total Score,Max Points,Status,Submission ID,Submission Time,Lateness (H:M:S),View Count,1.1: #1 (1.0 pts),1.2: #2 (1.0 pts),1.3: #3 (1.0 pts),1.4: #4 (1.0 pts),1.5: #5 (1.0 pts),1.6: #6 (1.0 pts),1.7: #7 (1.0 pts),1.8: #8 (1.0 pts),1.9: #9 (1.0 pts),1.10: #10 (1.0 pts),1.11: #11 (1.0 pts),1.12: #12 (1.0 pts),1.13: #13 (1.0 pts),1.14: #14 (1.0 pts),1.15: #15 (1.0 pts),2.1: Y (unsimplified) (10.0 pts),2.2: Y (simplified) (5.0 pts),2.3: Trace (10.0 pts),3.1: Walk (Boolean Expression) (15.0 pts),3.2: Flash (Boolean Expression) (15.0 pts),3.3: Walk (Circuit) (15.0 pts),3.4: Flash (Circuit) (15.0 pts),3.5: Extra Credit (5.0 pts)
Larry Mullen Jr,2109876,lmull101@fiu.edu,86.0,105.0,Graded,31106586,2020-03-03 12:10:25 -0500,00:00:00,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,0.0,10.0,10.0,15.0,15.0,15.0,0.0
Pusheen TheCat,76543210,pusheen@fiu.edu,98.0,105.0,Graded,31106587,2020-03-03 12:10:25 -0500,00:00:00,3,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,2.0,10.0,15.0,15.0,15.0,15.0,5.0
Jane Doe,2345678,jdoe002@fiu.edu,91.0,105.0,Graded,31106588,2020-03-03 12:10:25 -0500,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,3.0,8.0,12.0,15.0,15.0,15.0,0.0
Jimmy Clausen,9012345,jclau003@fiu.edu,100.0,105.0,Graded,31106589,2020-03-03 12:10:25 -0500,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10.0,2.0,10.0,15.0,15.0,15.0,15.0,5.0
Oscar The Grouch,1357924,groucho@fiu.edu,84.0,105.0,Graded,31106590,2020-03-03 12:10:25 -0500,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,9.0,1.0,8.0,12.0,15.0,12.0,15.0,0.0
Thomas Hall,5678901,thall025@fiu.edu,103.0,105.0,Graded,31106591,2020-03-03 12:10:25 -0500,00:00:00,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.0,10.0,15.0,15.0,15.0,15.0,5.0
Trevor Cickovski,6789012,tcickovs@fiu.edu,96.0,105.0,Graded,31106592,2020-03-03 12:10:25 -0500,00:00:00,2,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,3.0,9.0,15.0,15.0,15.0,15.0,5.0
Golden Tate,8901234,gtate074@fiu.edu,103.0,105.0,Graded,31106593,2020-03-03 12:10:25 -0500,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.0,10.0,15.0,15.0,15.0,15.0,5.0
Jim Smith,4567890,jsmit964@fiu.edu,81.0,105.0,Graded,31106941,2020-03-03 12:14:11 -0500,00:00:00,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,10.0,7.0,15.0,14.0,15.0,0.0
Mark Rosenberg,9876543,mrose005@fiu.edu,97.0,105.0,Graded,31106942,2020-03-03 12:14:11 -0500,00:00:00,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,10.0,13.0,15.0,15.0,15.0,0.0
Microsoft Windows,5432109,windoze@fiu.edu,94.0,105.0,Graded,31106943,2020-03-03 12:14:11 -0500,00:00:00,0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,3.0,10.0,14.0,15.0,15.0,15.0,0.0
Wheres Waldo,0001112,waldo01@fiu.edu,105.0,Missing
